Name,Trial,Variables,Cut dim,Interactions,Time (s),Proposed solution,Real sample min,Real sample 25,Real sample mean,Real sample 75,Real sample max
V16C4,2,16,4,16,0.73697,0.98542,0.0,4.66456,6.81663,8.90091,16.81196
V16C4,2,16,4,64,0.67693,1.79698,-1.25645,3.10664,4.9428,6.52306,13.84316
V16C4,2,16,4,256,0.77276,9.04124,-13.42451,1.20598,4.43654,7.55586,20.5937
V16C4,3,16,4,16,0.62961,1.27888,0.0,3.99233,5.69153,7.22769,14.24172
V16C4,3,16,4,64,0.50182,1.37912,-3.76555,2.02283,3.72927,5.42329,12.52912
V16C4,3,16,4,256,0.79766,2.76319,-2.74771,5.03801,7.47632,9.65865,21.7752
V16C4,4,16,4,16,0.55461,0.0,-0.14113,3.15753,4.73464,6.22029,12.50547
V16C4,4,16,4,64,0.67334,-1.6062,-2.98525,1.71506,2.96833,4.18595,9.98834
V16C4,4,16,4,256,0.86718,-4.37054,-13.48708,0.50246,3.38752,6.25415,18.707
V16C8,0,16,8,16,0.43579,0.0,0.0,4.42515,6.9186,9.3586,18.29253
V16C8,0,16,8,64,0.63864,4.42197,-3.39713,1.9447,3.65024,5.17732,12.2162
V16C8,0,16,8,256,1.29583,-3.53691,-8.26599,2.21701,4.98363,7.59543,20.16781
V16C8,1,16,8,16,0.37038,0.0,-0.04328,4.11396,6.78813,9.42097,17.99375
V16C8,1,16,8,64,0.71217,-1.02823,-2.14791,2.25049,4.03703,5.55389,13.24683
V16C8,1,16,8,256,1.06908,-9.77172,-12.10208,0.74697,3.79075,6.75857,21.72034
V16C8,2,16,8,16,0.33893,1.20682,0.03421,3.39057,5.58625,7.74281,14.98064
V16C8,2,16,8,64,0.57167,0.6069,-7.76591,0.22403,2.00724,3.94876,9.8524
V16C8,2,16,8,256,1.02623,1.04983,-4.80625,2.43882,4.69539,6.77326,17.83884
V16C8,3,16,8,16,0.34065,0.0,0.0,4.25305,6.58124,8.85769,16.55161
V16C8,3,16,8,64,0.86382,-0.72238,-3.73452,0.60575,2.04968,3.36182,9.48563
V16C8,3,16,8,256,0.96514,-12.43063,-17.34907,-0.68083,2.43352,5.72799,21.26454
V16C8,4,16,8,16,0.37168,0.0,-0.44344,3.96083,5.79778,7.49802,14.822
V16C8,4,16,8,64,0.59048,0.45736,-1.68208,2.43602,3.87218,5.16948,11.74163
V16C8,4,16,8,256,0.82716,-0.19638,-1.69965,4.76234,7.18982,9.35392,20.61874
V16C16,0,16,16,16,0.23725,0.0,0.00376,4.12231,6.3018,8.40014,16.44815
V16C16,0,16,16,64,0.54624,-5.91396,-5.91396,1.09722,2.48253,3.84084,10.87393
V16C16,0,16,16,256,0.79126,-8.97751,-8.97751,0.74561,2.75282,4.78043,11.97785
V16C16,1,16,16,16,0.23521,0.0,0.00504,4.08371,6.71453,9.31001,17.84636
V16C16,1,16,16,64,0.59086,-1.43771,-1.4485,2.72735,4.31405,5.75889,11.90352
V16C16,1,16,16,256,0.81093,-13.23606,-13.23606,-1.54066,1.00364,3.70652,14.06853
V16C16,2,16,16,16,0.24757,-0.96851,-0.96851,2.86428,4.79111,6.63228,13.86219
V16C16,2,16,16,64,0.46851,-2.38251,-2.38251,2.43119,4.31741,5.82146,14.5416
V16C16,2,16,16,256,0.84963,-9.72143,-9.72143,1.86847,4.72279,7.40401,21.05952
V16C16,3,16,16,16,0.23967,0.00942,0.0,3.69212,5.66101,7.54956,14.90959
V16C16,3,16,16,64,0.43043,-2.14739,-2.47111,1.37249,2.70773,3.94172,9.18259
V16C16,3,16,16,256,0.7136,-5.09361,-5.09361,3.53055,6.85232,9.79768,25.94391
V16C16,4,16,16,16,0.23766,0.0,0.07687,4.33158,6.58026,8.73646,17.19196
V16C16,4,16,16,64,0.47765,-2.61957,-2.61957,2.30645,4.23719,5.8712,14.44969
V16C16,4,16,16,256,0.78284,-7.11807,-7.11807,2.76846,5.57807,8.1593,22.57422
V32C2,0,32,2,32,6.36714,1.7198,0.51351,7.20185,10.79289,14.34955,25.00205
V32C2,0,32,2,128,6.2,0.87133,-1.76326,5.47383,7.06227,8.5919,16.40693
